instances,feature_Mean_StdDevDist,feature_Centroid_X,feature_Centroid_Y,feature_Radius,feature_FracDistinctDists_1Digit,feature_FracDistinctDists_2Digits,feature_FracDistinctDists_3Digits,feature_FracDistinctDists_4Digits,feature_RectangularArea,feature_VarNormalised_nNNds,feature_CoeffvarNormalised_nNNds,feature_NumClusters,feature_CitiesModClusters,feature_VarCitiesPerCluster,feature_NumOutliers,feature_RatioNodesNearEdgesPlane,feature_MeanRadiusEachCluster,algo_CLK,algo_LKCC,source,Best
random_130,96.0407133,185.66,187.38,0.0021,0.0145,0.0849,0.29,154.8094406,152490,0.000464016,58.85429741,3,1,1826.333333,5,0.51,63.67791909,194676.0,59467.1,RANDOM,LKCC
CLKeasy_102,95.19636344,204.03,184.55,155.9445565,0.0018,0.0133,0.0824,0.2869,157608,0.000441104,44.04524682,1,0,0.0,0,0.69,155.9445565,8030.43,717.091,Easy_CLK,LKCC
CLKhard_173,97.59619266,216.75,194.53,0.0021,0.0143,0.0878,0.2895,151.8995435,149326,0.000345016,60.15593159,5,0,120.2,9,0.18,45.10642316,1383180.0,124258.0,Hard_CLK,LKCC
LKCChard_040,97.34594236,206.38,185.39,0.0023,0.0156,0.0882,0.2891,152.6900821,153663,0.000436892,66.0813561,2,0,3444.5,1,0.35,87.75310386,355295.0,1447490.0,Hard_LKCC,CLK
random_099,90.38124387,204.15,206.97,0.002,0.0134,0.0823,0.2835,147.6534348,155232,0.000495853,47.64018682,3,1,721.0,4,0.55,75.6406828,98802.9,12211.5,RANDOM,LKCC
LKCChard_025,87.45929444,167.93,201.12,0.0021,0.0147,0.091,0.2864,136.6390525,151638,0.000484737,61.84249457,1,0,0.0,9,0.42,128.2169889,239250.0,702880.0,Hard_LKCC,CLK
LKCChard_165,96.33123341,185.0,177.52,0.0023,0.015,0.089,0.2888,153.5782432,149352,0.000623241,66.49360049,4,0,98.91666667,11,0.36,60.98381327,325958.0,401832.0,Hard_LKCC,CLK
LKCCeasy_134,93.38114067,219.25,210.13,150.8556618,0.0019,0.014,0.0838,0.2866,153260,0.000517703,53.29671355,1,0,0.0,21,0.38,129.5758038,29207.7,117.909,Easy_LKCC,LKCC
random_012,96.81051228,201.15,173.2,0.0021,0.0135,0.0848,0.2939,157.7448316,151320,0.000544122,55.14761075,3,1,211.0,25,0.38,64.13178741,114809.0,15758.9,RANDOM,LKCC
CLKhard_061,93.50157951,188.24,189.52,0.0024,0.015,0.0878,0.2862,148.7815565,158006,0.000643234,79.82856801,4,0,103.0,6,0.27,57.26536053,1225640.0,78174.4,Hard_CLK,LKCC
LKCChard_093,97.46800214,156.92,201.24,0.0022,0.0151,0.0891,0.2929,152.6527369,147810,0.000688386,76.26667105,1,0,0.0,10,0.37,144.5103867,305256.0,1654980.0,Hard_LKCC,CLK
LKCChard_031,88.59526112,212.45,195.4,0.0022,0.0147,0.0886,0.283,138.7221064,150046,0.000366861,56.50543736,1,0,0.0,0,0.31,138.7221064,375548.0,730908.0,Hard_LKCC,CLK
CLKhard_086,95.59562488,226.28,188.6,0.0023,0.015,0.0849,0.2855,152.9928517,156414,0.000471539,73.18781663,5,0,266.8,2,0.33,53.6548261,1362600.0,159614.0,Hard_CLK,LKCC
CLKeasy_110,96.91806851,194.16,186.76,158.9998233,0.0017,0.0131,0.0806,0.2888,149765,0.000312106,36.53807512,1,0,0.0,1,0.75,159.491511,7312.09,263.111,Easy_CLK,LKCC
CLKeasy_145,93.94631214,186.76,208.34,152.4244262,0.0015,0.0133,0.0845,0.2883,153270,0.00023483,34.71175079,1,0,0.0,0,0.71,152.4244262,7078.24,989.273,Easy_CLK,LKCC
LKCChard_017,93.28497825,181.21,181.95,0.0023,0.0151,0.0913,0.2941,142.8039771,156021,0.000529929,64.68626304,3,1,457.3333333,21,0.26,57.50321488,297869.0,901499.0,Hard_LKCC,CLK
CLKeasy_160,96.8401856,219.26,229.78,156.9163943,0.0018,0.0132,0.0833,0.2977,156815,0.000368201,41.75812196,1,0,0.0,0,0.68,156.9163943,9264.89,575.242,Easy_CLK,LKCC
CLKhard_091,99.63286228,175.86,201.97,0.0022,0.0151,0.0867,0.294,159.287078,153664,0.000394341,63.92297721,7,2,27.23809524,7,0.34,39.96642413,1323320.0,128519.0,Hard_CLK,LKCC
LKCCeasy_106,100.8269577,209.03,187.14,163.2763681,0.002,0.0143,0.0844,0.2971,154836,0.000446157,58.3526093,2,0,3042.0,8,0.56,96.45205744,18120.8,107.636,Easy_LKCC,LKCC
CLKeasy_037,97.2442763,192.8,180.32,158.8970415,0.0017,0.013,0.0823,0.2885,154448,0.00022477,32.83863498,1,0,0.0,0,0.64,158.8970415,7432.48,420.253,Easy_CLK,LKCC
random_113,95.0927433,206.32,208.9,0.0023,0.0143,0.083,0.2889,154.1971485,155232,0.000392415,52.39473925,3,1,382.3333333,12,0.39,78.60223255,142693.0,12888.8,RANDOM,LKCC
random_100,96.93261052,183.04,190.69,0.0019,0.0137,0.0828,0.291,155.3909889,151690,0.000520019,52.21125502,3,1,850.3333333,9,0.47,69.95088596,80918.4,14489.1,RANDOM,LKCC
CLKhard_084,92.70474948,188.53,230.33,0.0021,0.0146,0.0852,0.2871,147.8905116,156420,0.000547191,72.10053516,5,0,503.8,2,0.31,45.25778615,1335930.0,281235.0,Hard_CLK,LKCC
random_186,99.24457122,189.43,209.53,0.0021,0.0142,0.081,0.2936,161.1323996,155618,0.000507573,56.9557832,2,0,3444.5,3,0.61,91.02836488,111256.0,21960.4,RANDOM,LKCC
CLKhard_143,105.9232508,211.9,194.12,0.0022,0.0145,0.084,0.2908,169.964136,156024,0.000479085,68.10022364,7,2,38.95238095,5,0.28,36.82151674,1467440.0,176685.0,Hard_CLK,LKCC
CLKeasy_171,92.75388743,197.57,206.27,151.9410389,0.0016,0.0129,0.0826,0.2904,154433,0.000275097,34.09079069,1,0,0.0,8,0.67,144.2609964,7490.49,1278.84,Easy_CLK,LKCC
random_115,102.8347184,178.3,210.17,0.002,0.0142,0.0846,0.3011,166.3101827,156812,0.000434607,55.93948676,3,1,112.0,25,0.36,72.5226024,183791.0,16019.6,RANDOM,LKCC
LKCCeasy_003,98.36209764,209.22,194.83,159.6445417,0.0019,0.0139,0.0822,0.2922,156815,0.000412773,49.82700391,3,1,102.3333333,8,0.58,82.89594929,14415.8,102.525,Easy_LKCC,LKCC
random_086,90.5868592,209.8,196.81,0.0021,0.0139,0.0847,0.2867,146.2070182,156016,0.00056906,57.34719835,1,0,0.0,11,0.4,140.3124343,172892.0,37693.7,RANDOM,LKCC
CLKhard_154,105.4682247,190.77,206.78,0.0024,0.0164,0.0863,0.2943,164.3003013,157608,0.000458244,89.1214245,11,1,4.2,1,0.16,45.27945579,1986740.0,184848.0,Hard_CLK,LKCC
CLKhard_092,99.06217959,175.95,226.65,0.0024,0.016,0.0881,0.2909,151.1215531,158802,0.000632079,94.30015381,5,0,222.0,10,0.19,36.74014374,1493860.0,159898.0,Hard_CLK,LKCC
LKCChard_069,89.37992184,168.39,197.84,0.0023,0.0153,0.0921,0.2846,133.2293025,149352,0.000673612,81.46496819,3,1,662.3333333,12,0.36,64.11045469,266705.0,507520.0,Hard_LKCC,CLK
LKCChard_143,89.43312231,205.57,179.44,0.0022,0.0145,0.0883,0.2841,141.8900263,145668,0.00053118,58.52715426,2,0,1352.0,6,0.49,91.27334885,241153.0,720091.0,Hard_LKCC,CLK
random_069,94.76306197,195.64,198.84,0.0022,0.0145,0.0875,0.2903,151.6116662,154424,0.000318877,52.17091929,3,1,1365.333333,6,0.44,66.20375333,155319.0,45154.6,RANDOM,LKCC
LKCChard_050,83.99972455,198.44,232.87,0.0021,0.0141,0.0902,0.277,134.070581,152490,0.000357159,52.33748078,2,0,3120.5,3,0.44,79.57593481,273458.0,548001.0,Hard_LKCC,CLK
CLKhard_130,104.4855417,194.29,185.78,0.0024,0.0157,0.0853,0.2963,165.5608447,152856,0.000595222,78.71433482,8,4,28.21428571,6,0.3,32.334167,1420840.0,123972.0,Hard_CLK,LKCC
CLKhard_023,102.2159598,209.43,197.85,0.0023,0.0157,0.0869,0.2944,160.5129613,154054,0.000410056,75.11781847,9,1,7.777777778,5,0.12,27.69647939,2071840.0,281326.0,Hard_CLK,LKCC
CLKhard_172,97.73097374,183.25,198.72,0.0023,0.0154,0.0893,0.292,148.8523054,157210,0.000244422,63.50258886,6,4,98.56666667,3,0.1,42.2202593,2183970.0,308384.0,Hard_CLK,LKCC
LKCChard_111,87.00909377,200.73,183.25,0.0022,0.0143,0.092,0.286,134.8290187,156418,0.000646741,68.11321531,1,0,0.0,16,0.26,121.4655789,328456.0,1023430.0,Hard_LKCC,CLK
CLKeasy_002,97.28136631,198.56,202.01,159.987612,0.0019,0.0133,0.0811,0.2889,158403,0.000264538,34.84525799,1,0,0.0,0,0.75,159.987612,7846.77,334.434,Easy_CLK,LKCC
LKCCeasy_083,93.49259026,213.21,188.16,152.3375519,0.002,0.014,0.0835,0.2876,149768,0.000597689,59.95394575,4,0,104.25,1,0.59,86.10989164,26006.6,100.283,Easy_LKCC,LKCC
random_021,92.60083478,200.18,187.84,0.0019,0.0139,0.0827,0.2878,149.2599982,152872,0.000507013,52.16654812,2,0,1922.0,6,0.46,92.34619897,108753.0,21196.6,RANDOM,LKCC
LKCCeasy_145,97.56282731,215.34,193.77,159.451471,0.0021,0.0143,0.0825,0.2899,156418,0.000469562,59.28330152,3,1,721.0,28,0.35,62.58983511,17779.5,100.475,Easy_LKCC,LKCC
CLKeasy_108,90.65916497,234.93,192.99,144.862862,0.0017,0.0132,0.0851,0.2871,146216,0.000293144,39.45600673,1,0,0.0,2,0.66,143.0487493,8775.62,1211.63,Easy_CLK,LKCC
random_072,91.58879646,187.54,194.25,0.0021,0.0148,0.0837,0.2884,147.600933,153663,0.000557839,65.57577319,3,1,497.3333333,14,0.49,75.60404773,108647.0,17143.7,RANDOM,LKCC
random_136,99.80950436,210.14,198.92,0.002,0.0139,0.0861,0.2944,162.5543208,152490,0.000518502,53.89630708,3,1,186.3333333,17,0.46,73.29170395,127298.0,25828.0,RANDOM,LKCC
LKCChard_029,87.6186022,169.77,183.92,0.0021,0.0148,0.0944,0.2889,130.0248874,148598,0.000487256,66.11336603,2,0,1860.5,19,0.23,61.57119492,263257.0,911823.0,Hard_LKCC,CLK
LKCCeasy_075,99.69385857,195.86,209.97,160.5628474,0.002,0.0142,0.0824,0.293,157608,0.000540169,60.39393622,4,0,212.9166667,9,0.47,70.55855552,29796.1,102.061,Easy_LKCC,LKCC
CLKeasy_089,94.16123599,197.33,203.07,154.2288053,0.0016,0.0128,0.0806,0.2853,152100,0.000225275,31.37343279,1,0,0.0,0,0.75,154.2288053,7052.02,1159.15,Easy_CLK,LKCC
random_044,97.26736611,204.05,197.37,0.0021,0.0139,0.0846,0.2921,158.5774152,148604,0.00052399,52.32538428,3,1,427.0,7,0.44,75.870378,101877.0,19599.5,RANDOM,LKCC
CLKhard_048,94.62501213,220.96,181.71,0.0022,0.0149,0.0876,0.2897,150.8280654,153266,0.000605892,72.7187182,5,0,85.3,17,0.16,42.3676277,1279610.0,136293.0,Hard_CLK,LKCC
CLKeasy_035,96.85603901,210.56,185.63,156.17764,0.0018,0.0137,0.0846,0.2949,148947,0.000329688,44.73578417,2,0,612.5,1,0.7,112.7136901,8721.94,884.545,Easy_CLK,LKCC
CLKhard_002,101.6799969,193.96,185.36,0.0024,0.0156,0.0857,0.2911,160.4970564,158802,0.000797198,88.06686144,7,2,160.0,2,0.22,30.83927022,1303740.0,114878.0,Hard_CLK,LKCC
CLKhard_151,98.96561703,199.13,226.73,0.0023,0.0157,0.0897,0.294,154.9099279,156408,0.000551797,75.95949135,5,0,177.3,3,0.25,46.4658254,1668060.0,173491.0,Hard_CLK,LKCC
LKCCeasy_047,93.60190099,206.46,195.15,152.4590874,0.002,0.0138,0.0823,0.2837,151690,0.000511541,52.01262374,3,1,871.0,16,0.48,68.01190123,31138.9,136.283,Easy_LKCC,LKCC
LKCChard_173,92.19477549,183.65,223.11,0.0022,0.0145,0.091,0.2902,140.9348081,157609,0.00053433,64.65635069,2,0,3698.0,2,0.38,80.04925188,321410.0,795214.0,Hard_LKCC,CLK
random_015,89.98788663,210.1,183.05,0.0021,0.0138,0.0868,0.2823,143.1901257,148520,0.000475989,51.27826701,1,0,0.0,13,0.42,130.3258243,130268.0,25326.6,RANDOM,LKCC
LKCCeasy_170,97.43567019,207.54,176.96,156.0429742,0.002,0.0139,0.0837,0.2939,154822,0.000484901,50.49330242,3,1,764.3333333,15,0.38,70.9970707,19852.1,108.99,Easy_LKCC,LKCC
LKCChard_116,95.58328197,174.02,182.21,0.0021,0.0148,0.0916,0.2949,146.2614365,152832,0.000428317,58.2821694,1,0,0.0,24,0.31,113.5145744,225044.0,1892480.0,Hard_LKCC,CLK
LKCChard_037,92.63680408,212.51,186.41,0.0022,0.0152,0.0907,0.2904,144.7634603,157608,0.00042428,65.93763536,2,0,2664.5,9,0.31,87.08623305,439814.0,1080340.0,Hard_LKCC,CLK
CLKeasy_100,94.51504534,202.93,198.08,154.6013139,0.0016,0.0129,0.0816,0.2863,158004,0.000294452,35.22729436,1,0,0.0,1,0.76,153.8300254,6813.06,325.03,Easy_CLK,LKCC
CLKhard_053,99.84382186,204.0,206.0,0.0022,0.0147,0.0848,0.2871,162.226475,142500,0.000486252,62.81740008,6,4,39.86666667,2,0.41,48.64859387,981360.0,75273.7,Hard_CLK,LKCC
LKCCeasy_128,96.59665518,203.77,191.03,157.0015815,0.0019,0.0138,0.0822,0.2881,158004,0.000404444,50.16672124,3,1,588.0,31,0.41,62.4639973,24907.9,102.475,Easy_LKCC,LKCC
CLKeasy_006,96.76953134,206.99,206.05,157.3513455,0.0019,0.0131,0.0823,0.2898,152478,0.000257625,35.5797438,1,0,0.0,0,0.79,157.3513455,7231.83,331.859,Easy_CLK,LKCC
random_151,94.35254393,201.21,195.02,0.0022,0.0138,0.081,0.2822,155.4932202,155628,0.000656798,61.85029664,3,1,264.3333333,3,0.54,80.00319801,137075.0,15029.8,RANDOM,LKCC
LKCChard_108,97.58037541,179.3,181.31,0.0022,0.0146,0.0897,0.2924,151.2974483,150920,0.000502091,62.71306144,3,1,523.0,7,0.45,74.13422634,254411.0,867630.0,Hard_LKCC,CLK
CLKeasy_134,91.95397045,218.71,199.61,150.2505305,0.0016,0.0129,0.0807,0.2838,152856,0.000241507,31.74056772,1,0,0.0,2,0.63,148.9847637,7854.21,1056.59,Easy_CLK,LKCC
LKCChard_158,86.28629207,198.86,195.82,0.0022,0.0145,0.0937,0.2826,133.4048582,157206,0.000554552,61.97491998,2,0,2048.0,14,0.36,78.41014589,265867.0,541067.0,Hard_LKCC,CLK
LKCChard_008,95.64420828,174.82,199.02,0.0022,0.0145,0.0866,0.2875,150.5723822,157608,0.000488904,63.80036184,2,0,2888.0,10,0.36,83.78210375,215905.0,861203.0,Hard_LKCC,CLK
CLKeasy_143,95.24674076,214.68,206.58,155.2746853,0.0018,0.0133,0.0847,0.2879,154445,0.000253266,36.05731042,1,0,0.0,0,0.58,155.2746853,7476.53,708.414,Easy_CLK,LKCC
CLKhard_180,99.06966754,216.09,183.29,0.0023,0.015,0.0864,0.2919,154.8276919,155232,0.000358078,68.02929954,4,0,568.9166667,19,0.16,40.15265953,1502320.0,242179.0,Hard_CLK,LKCC
CLKhard_042,100.5586686,211.12,198.34,0.0023,0.0158,0.0879,0.2961,157.7817162,153655,0.000243826,59.46302609,5,0,459.5,0,0.34,41.59735938,2308490.0,245080.0,Hard_CLK,LKCC
LKCChard_135,87.94895105,196.42,192.93,0.0022,0.0148,0.0904,0.287,135.393129,151285,0.000673562,72.07542068,3,1,680.3333333,6,0.35,66.88198985,211583.0,578624.0,Hard_LKCC,CLK
LKCChard_166,89.24581133,215.59,199.18,0.0022,0.0146,0.0903,0.2871,139.6382637,156420,0.000598303,69.80353407,2,0,1922.0,16,0.28,75.98840476,270914.0,526057.0,Hard_LKCC,CLK
random_067,94.24410175,190.02,217.19,0.0024,0.0144,0.084,0.2887,151.8336116,152100,0.000572608,62.8671853,4,0,121.0,10,0.42,63.31960717,152356.0,31369.3,RANDOM,LKCC
CLKeasy_174,96.1146068,188.05,208.95,156.2920138,0.0015,0.0132,0.0818,0.2885,155236,0.000300293,37.27774489,1,0,0.0,1,0.74,156.1612044,9809.74,424.99,Easy_CLK,LKCC
LKCCeasy_059,98.98425121,196.79,184.5,163.8326999,0.0021,0.014,0.0801,0.291,149380,0.000424163,52.00090664,4,0,506.25,1,0.74,81.24603831,22959.1,102.404,Easy_LKCC,LKCC
LKCCeasy_002,97.59675301,192.36,197.81,159.9200241,0.0018,0.0137,0.0818,0.2887,156021,0.000497579,48.37268067,1,0,0.0,13,0.58,154.4347098,12553.1,100.909,Easy_LKCC,LKCC
LKCCeasy_176,94.88082071,214.97,190.83,151.9976375,0.0019,0.0136,0.0845,0.2892,154448,0.00058971,55.20681774,1,0,0.0,12,0.52,143.5635669,20280.4,105.04,Easy_LKCC,LKCC
CLKhard_083,90.37624197,159.71,203.34,0.0023,0.0153,0.0886,0.2798,143.2448981,156021,0.001280708,109.5409976,3,1,1290.333333,5,0.24,53.71593176,1488750.0,186330.0,Hard_CLK,LKCC
CLKeasy_095,95.938544,195.25,204.87,156.5126215,0.0017,0.013,0.0808,0.2887,153648,0.000325307,36.92284778,1,0,0.0,0,0.65,156.5126215,8021.53,529.98,Easy_CLK,LKCC
LKCCeasy_135,93.60220236,201.27,193.01,151.2844872,0.0021,0.014,0.082,0.2857,155235,0.000515824,57.43807657,3,1,1226.333333,11,0.53,67.65797714,18646.5,114.717,Easy_LKCC,LKCC
random_036,92.13574155,200.53,197.1,0.0021,0.0141,0.0852,0.2877,148.3848187,154445,0.000595008,62.8252641,3,1,193.0,16,0.38,67.59675052,145474.0,37751.1,RANDOM,LKCC
LKCChard_182,94.1399591,209.68,219.03,0.0024,0.0159,0.0913,0.2903,147.1824075,150519,0.00061601,75.45608512,2,0,392.0,12,0.39,75.99601115,438472.0,970459.0,Hard_LKCC,CLK
CLKhard_167,101.4647808,193.97,223.97,0.0024,0.016,0.0849,0.2871,160.3586281,154840,0.000351398,71.45579893,8,4,21.83928571,11,0.09,27.36888661,1751990.0,142909.0,Hard_CLK,LKCC
LKCChard_114,97.51657667,179.15,212.47,0.0023,0.0152,0.088,0.2929,155.2743215,150528,0.00066426,78.83903476,3,1,242.3333333,18,0.39,67.5472878,324552.0,599593.0,Hard_LKCC,CLK
LKCChard_076,95.66073577,198.59,182.88,0.0022,0.0151,0.0897,0.2856,147.9262255,148995,0.000474847,64.25660129,3,1,63.0,13,0.37,63.91134587,383275.0,604434.0,Hard_LKCC,CLK
LKCCeasy_177,95.84917661,200.65,188.23,153.8371411,0.0019,0.0139,0.0832,0.2901,157212,0.000340248,48.35915289,3,1,357.3333333,11,0.52,77.72941221,19167.7,100.071,Easy_LKCC,LKCC
CLKeasy_081,95.55723064,194.01,204.21,157.3663622,0.0016,0.0131,0.0784,0.2908,156812,0.000272201,34.47359576,1,0,0.0,2,0.75,156.4513993,6232.44,760.899,Easy_CLK,LKCC
random_092,100.0977595,218.75,193.84,0.002,0.0145,0.0848,0.2952,160.7521113,154448,0.000499487,55.96365101,2,0,2450.0,14,0.46,83.81609161,128335.0,18562.4,RANDOM,LKCC
LKCCeasy_013,95.20037643,187.87,210.56,154.0778282,0.0021,0.0139,0.0823,0.2868,154822,0.00041948,51.6249831,2,0,1922.0,22,0.41,77.25826492,18656.6,101.141,Easy_LKCC,LKCC
CLKhard_049,97.60244293,230.98,204.79,0.0022,0.0157,0.0892,0.2925,156.2124358,148980,0.000902932,93.96287786,5,0,40.8,7,0.2,46.33730353,1576700.0,196108.0,Hard_CLK,LKCC
random_081,91.37144617,197.27,203.34,0.0022,0.0143,0.0831,0.2871,149.9672469,154054,0.000687257,63.01562067,3,1,372.0,10,0.49,76.29170416,123011.0,17084.3,RANDOM,LKCC
CLKhard_035,104.8350926,198.52,205.15,0.0023,0.0161,0.0837,0.292,167.4850789,156816,0.000474628,70.60650996,7,2,48.80952381,3,0.31,39.69566939,1692150.0,164980.0,Hard_CLK,LKCC
CLKeasy_157,97.8485891,212.06,177.58,158.1304324,0.0018,0.0132,0.0828,0.2899,153655,0.000341586,38.99190676,1,0,0.0,4,0.65,153.9098075,6607.78,1211.07,Easy_CLK,LKCC
random_177,91.43595757,221.97,209.61,0.0024,0.0146,0.0877,0.2903,145.7430984,154842,0.000582775,63.40039755,2,0,1012.5,9,0.38,85.75495616,177333.0,41263.3,RANDOM,LKCC
LKCCeasy_041,99.34557623,210.76,213.64,162.3819923,0.0023,0.0142,0.0828,0.2897,149720,0.000529191,54.49955689,1,0,0.0,11,0.68,154.0410821,22731.3,106.364,Easy_LKCC,LKCC
LKCChard_096,95.30050933,194.48,194.43,0.0022,0.0152,0.0907,0.2919,149.6670058,155235,0.000338281,56.06937461,3,1,1029.0,16,0.42,59.9438882,313959.0,1352830.0,Hard_LKCC,CLK
CLKhard_065,99.37383104,226.15,219.46,0.0022,0.0157,0.0866,0.2875,157.4753365,145542,0.000430964,79.65364804,6,4,49.1,1,0.31,42.63141533,1616510.0,149129.0,Hard_CLK,LKCC
LKCCeasy_092,91.11644622,215.23,204.72,148.3246628,0.002,0.0135,0.0809,0.283,151312,0.000683203,60.13336389,2,0,2178.0,10,0.49,83.71759203,30019.5,121.424,Easy_LKCC,LKCC
random_020,94.97944588,184.5,195.45,0.0021,0.0139,0.083,0.2884,154.4403425,155232,0.000378752,45.67623507,3,1,692.3333333,8,0.37,71.05834154,146291.0,12611.0,RANDOM,LKCC
CLKeasy_166,92.0427163,195.37,211.3,149.5554994,0.0017,0.0133,0.0817,0.2873,152488,0.000333035,41.82638743,1,0,0.0,8,0.66,141.5667079,9578.64,1095.24,Easy_CLK,LKCC
random_084,97.24552568,220.44,206.43,0.0023,0.014,0.0835,0.2921,159.5808011,155235,0.000642229,65.8217863,4,0,62.25,17,0.48,58.39253718,131426.0,28378.2,RANDOM,LKCC
